Sn         band Tmax      Mmax   error   ts1            ts2            ts31           ts32           s      error  b      s1     error  s2     error  b1     s3     error  b3     Ttrans    error  Tpt       error     Tend      Mend      error     Ttail     Mtail     error     w0        error     a0        error  max2  error tmax2
sn1985g      R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1992ba     R  48898.50  14.95  0.01     48897.1169355  48915.2016129  48895.0725806  48920.233871   -0.12  0.14   14.94  nan    nan    -0.12  0.14   14.94  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1994n      R  49482.00  18.13  0.02     49478.6451613  49515.3870968  49698.0        49746.5322581  -0.326 0.1782 18.125 nan    nan    -0.326 0.1782 18.125 1.047  0.4338 21.823 nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1996an     R   nan       nan    nan     50352.15625    50479.34375    50352.15625    50479.34375    nan    nan    nan    nan    nan    nan    nan    nan    1.09   0.06   16.45  nan       nan    50338.10  5.45      nan       15.22     0.24      nan       16.37     0.10      3.59      0.00      1.01      0.24   nan   nan    nan
sn1999bg     R   nan       nan    nan     nan            nan            nan            nan            nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1999br     R  51290.73  17.17  0.02     51281.4993952  51382.0538306  51288.1677419  51381.7362903  -0.36  0.01   17.24  nan    nan    -0.36  0.01   17.24  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn1999em     R  51484.82  13.49  0.10     51483.1491935  51565.0907258  51604.203629   51667.9576613  -0.15  0.01   13.57  nan    nan    -0.15  0.01   13.57  1.12   0.04   15.23  nan       nan    51596.41  0.19      nan       13.82     0.02      nan       15.35     0.02      5.07      0.00      1.71      0.02   nan   nan    nan
sn1999gi     R  51532.34  14.25  0.10     51537.2544355  51621.1909274  51656.2413306  51698.1173387  0.26   0.04   14.24  nan    nan    0.26   0.04   14.24  0.89   0.16   16.18  nan       nan    51641.29  0.53      nan       14.66     0.05      nan       16.15     0.06      4.03      0.52      1.65      0.05   nan   nan    nan
sn1999gn     R  51553.00  15.64  0.10     51550.7822581  51620.0967742  51549.4516129  51622.6370968  -0.21  0.19   15.66  nan    nan    -0.21  0.19   15.66  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
sn2001x      R  51986.83  14.92  0.10     51980.5024194  52049.840121   52085.1576613  52112.2584677  0.16   0.02   14.98  nan    nan    0.16   0.02   14.98  0.93   0.24   16.62  nan       nan    52076.26  0.16      nan       15.28     0.02      nan       16.60     0.03      3.22      0.00      1.36      0.02   nan   nan    nan
sn2002hh     R  52583.09  15.31  0.10     52587.9516129  52630.9274194  52737.7782258  52863.7620968  0.45   0.08   15.30  nan    nan    0.45   0.08   15.30  0.87   0.03   16.98  nan       nan    52721.31  2.95      nan       15.87     0.05      nan       17.15     0.06      4.66      0.00      1.00      0.05   nan   nan    nan
sn2003b      R  52645.50  15.44  0.01     52643.5927419  52696.5856855  52643.7711694  52698.7862903  0.47   0.03   15.41  nan    nan    0.47   0.03   15.41  nan    nan    nan    nan       nan    nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan       nan    nan   nan    nan
